,input,filtered,denoised,merged,tabled,nonchim
SRR6945095,4414,3151,2573,2573,2382,2382
SRR6945102,37376,4008,3614,3614,3457,3457
SRR6945105,32221,3082,2895,2895,2815,2815
SRR6945110,11460,6468,6173,6173,5674,5667
SRR6945111,54414,23329,22441,22441,21280,20575
SRR6945112,7140,4645,4436,4436,4233,4233
SRR6945114,189,26,10,10,9,9
SRR6945122,25218,3233,3050,3050,2848,2848
SRR6945128,24902,4182,3605,3605,3297,3297
SRR6945144,9470,7815,7275,7275,7015,7015
SRR6945145,6780,4843,4262,4262,3932,3932
SRR6945155,20868,14080,13493,13493,12828,12828
SRR6945159,10709,5672,5301,5301,4899,4899
SRR6945160,6486,3008,2747,2747,2609,2609
SRR6945161,21665,9436,8792,8792,8330,8330
SRR6945162,9326,5652,5446,5446,5209,5209
SRR6945170,24280,3184,2651,2651,2406,2406
SRR6945173,17125,5179,4817,4817,4597,4597
